Model,real => real,real => cartoon,real => combined,cartoon => real,cartoon => cartoon,cartoon => combined,combined => real,combined => cartoon,combined => combined,
Random Forest with 200 Trees,0.5673469387755102,0.27651211878593784,0.7795918367346939,0.20816326530612245,0.981730839216828,0.21020408163265306,0.5428571428571428,0.8472232331319601,0.5428571428571428,
Ada Boost,0.4326530612244898,0.2627556590727127,0.45102040816326533,0.2979591836734694,0.6178761190770798,0.2857142857142857,0.3306122448979592,0.300676905160492,0.3183673469387755,
Bagging,0.4816326530612245,0.2598442390275857,0.7387755102040816,0.24081632653061225,0.9550185603027876,0.23469387755102042,0.46938775510204084,0.7784409345658345,0.45102040816326533,
Extra Trees,0.5061224489795918,0.27447412475434896,0.7306122448979592,0.17142857142857143,0.9672465244923212,0.19387755102040816,0.4122448979591837,0.7863745541888056,0.4346938775510204,
Gradient Boosting,0.6244897959183674,0.29245214353300825,0.8020408163265306,0.27755102040816326,0.9560375573185821,0.2714285714285714,0.5673469387755102,0.8441662420845768,0.5857142857142857,
MLPClassifier,0.1346938775510204,0.11900429434456657,0.07346938775510205,0.15510204081632653,0.6543416551422957,0.35918367346938773,0.17959183673469387,0.1836378193463862,0.11020408163265306,
Decision Tree,0.42448979591836733,0.2304388965718029,0.7183673469387755,0.22857142857142856,0.8983186549239391,0.21428571428571427,0.40816326530612246,0.6699177523837252,0.4020408163265306,
Bernoulli NB,0.11020408163265306,0.15466918989737244,0.11224489795918367,0.1469387755102041,0.1639129485406507,0.1326530612244898,0.11020408163265306,0.15466918989737244,0.11224489795918367,
Gaussian NB,0.45714285714285713,0.20620132469612054,0.5,0.1836734693877551,0.5011281752674868,0.17959183673469387,0.24081632653061225,0.45512773855447997,0.23469387755102042,
Multinomial NB,0.3836734693877551,0.2345876701361089,0.44081632653061226,0.1510204081632653,0.3707693427469248,0.1346938775510204,0.19591836734693877,0.3934784190989155,0.20204081632653062,
